fact	label	source
e1896 not r199 a83	1	train
e1896 r199 a83	0	train
e1896 r199 a82	1	train
e1896 not r199 a82	0	train
e1514 r199 a176	1	train
e1514 not r199 a176	0	train
e1514 not r199 a177	1	train
e1514 r199 a177	0	train
e1284 r199 a18	1	train
e1284 not r199 a18	0	train
e1284 not r199 a19	1	train
e1284 r199 a19	0	train
e1920 r199 a160	1	train
e1920 not r199 a160	0	train
e1920 not r199 a161	1	train
e1920 r199 a161	0	train
e3848 not r199 a243	1	train
e3848 r199 a243	0	train
e3848 r199 a242	1	train
e3848 not r199 a242	0	train
e4189 r199 a217	1	train
e4189 not r199 a217	0	train
e4189 not r199 a216	1	train
e4189 r199 a216	0	train
e4012 r199 a100	1	train
e4012 not r199 a100	0	train
e4012 not r199 a101	1	train
e4012 r199 a101	0	train
e1840 not r199 a131	1	train
e1840 r199 a131	0	train
e1840 r199 a130	1	train
e1840 not r199 a130	0	train
e3818 not r199 a184	1	train
e3818 r199 a184	0	train
e3818 r199 a185	1	train
e3818 not r199 a185	0	train
e2462 r199 a183	1	train
e2462 not r199 a183	0	train
e2462 not r199 a182	1	train
e2462 r199 a182	0	train
e1309 r199 a34	1	train
e1309 not r199 a34	0	train
e1309 not r199 a35	1	train
e1309 r199 a35	0	train
e4641 r199 a47	1	train
e4641 not r199 a47	0	train
e4641 not r199 a46	1	train
e4641 r199 a46	0	train
e1603 r199 a51	1	train
e1603 not r199 a51	0	train
e1603 not r199 a50	1	train
e1603 r199 a50	0	train
e2659 r199 a159	1	train
e2659 not r199 a159	0	train
e2659 not r199 a158	1	train
e2659 r199 a158	0	train
e3225 r199 a21	1	train
e3225 not r199 a21	0	train
e3225 not r199 a20	1	train
e3225 r199 a20	0	train
e3960 not r199 a182	1	train
e3960 r199 a182	0	train
e3960 r199 a183	1	train
e3960 not r199 a183	0	train
e3299 r199 a54	1	train
e3299 not r199 a54	0	train
e3299 not r199 a55	1	train
e3299 r199 a55	0	train
e281 not r199 a61	1	train
e281 r199 a61	0	train
e281 r199 a60	1	train
e281 not r199 a60	0	train
e995 not r199 a237	1	train
e995 r199 a237	0	train
e995 r199 a236	1	train
e995 not r199 a236	0	train
e3775 r199 a51	1	train
e3775 not r199 a51	0	train
e3775 not r199 a50	1	train
e3775 r199 a50	0	train
e2006 not r199 a63	1	train
e2006 r199 a63	0	train
e2006 r199 a62	1	train
e2006 not r199 a62	0	train
e2379 not r199 a52	1	train
e2379 r199 a52	0	train
e2379 r199 a53	1	train
e2379 not r199 a53	0	train
e4372 r199 a198	1	train
e4372 not r199 a198	0	train
e4372 not r199 a199	1	train
e4372 r199 a199	0	train
e997 not r199 a135	1	train
e997 r199 a135	0	train
e997 r199 a134	1	train
e997 not r199 a134	0	train
e1013 not r199 a112	1	train
e1013 r199 a112	0	train
e1013 r199 a113	1	train
e1013 not r199 a113	0	train
e1641 not r199 a130	1	train
e1641 r199 a130	0	train
e1641 r199 a131	1	train
e1641 not r199 a131	0	train
e2853 r199 a18	1	train
e2853 not r199 a18	0	train
e2853 not r199 a19	1	train
e2853 r199 a19	0	train
e3500 not r199 a73	1	train
e3500 r199 a73	0	train
e3500 r199 a72	1	train
e3500 not r199 a72	0	train
e1295 not r199 a241	1	train
e1295 r199 a241	0	train
e1295 r199 a240	1	train
e1295 not r199 a240	0	train
e1156 not r199 a59	1	train
e1156 r199 a59	0	train
e1156 r199 a58	1	train
e1156 not r199 a58	0	train
e3713 r199 a32	1	train
e3713 not r199 a32	0	train
e3713 not r199 a33	1	train
e3713 r199 a33	0	train
e3088 r199 a230	1	train
e3088 not r199 a230	0	train
e3088 not r199 a231	1	train
e3088 r199 a231	0	train
e3641 r199 a134	1	train
e3641 not r199 a134	0	train
e3641 not r199 a135	1	train
e3641 r199 a135	0	train
e3597 not r199 a34	1	train
e3597 r199 a34	0	train
e3597 r199 a35	1	train
e3597 not r199 a35	0	train
e82 not r199 a13	1	train
e82 r199 a13	0	train
e82 r199 a12	1	train
e82 not r199 a12	0	train
e3162 r199 a188	1	train
e3162 not r199 a188	0	train
e3162 not r199 a189	1	train
e3162 r199 a189	0	train
e3647 r199 a79	1	train
e3647 not r199 a79	0	train
e3647 not r199 a78	1	train
e3647 r199 a78	0	train
e1453 not r199 a50	1	train
e1453 r199 a50	0	train
e1453 r199 a51	1	train
e1453 not r199 a51	0	train
e3999 not r199 a122	1	train
e3999 r199 a122	0	train
e3999 r199 a123	1	train
e3999 not r199 a123	0	train
e2560 not r199 a123	1	train
e2560 r199 a123	0	train
e2560 r199 a122	1	train
e2560 not r199 a122	0	train
e1293 r199 a82	1	train
e1293 not r199 a82	0	train
e1293 not r199 a83	1	train
e1293 r199 a83	0	train
e777 r199 a25	1	train
e777 not r199 a25	0	train
e777 not r199 a24	1	train
e777 r199 a24	0	train
e2898 r199 a66	1	train
e2898 not r199 a66	0	train
e2898 not r199 a67	1	train
e2898 r199 a67	0	train
e2408 r199 a43	1	train
e2408 not r199 a43	0	train
e2408 not r199 a42	1	train
e2408 r199 a42	0	train
e928 not r199 a153	1	train
e928 r199 a153	0	train
e928 r199 a152	1	train
e928 not r199 a152	0	train
e1424 not r199 a47	1	train
e1424 r199 a47	0	train
e1424 r199 a46	1	train
e1424 not r199 a46	0	train
e1889 not r199 a209	1	train
e1889 r199 a209	0	train
e1889 r199 a208	1	train
e1889 not r199 a208	0	train
e1506 not r199 a111	1	train
e1506 r199 a111	0	train
e1506 r199 a110	1	train
e1506 not r199 a110	0	train
e2441 r199 a105	1	train
e2441 not r199 a105	0	train
e2441 not r199 a104	1	train
e2441 r199 a104	0	train
e2387 not r199 a3	1	train
e2387 r199 a3	0	train
e2387 r199 a2	1	train
e2387 not r199 a2	0	train
e4811 r199 a32	1	train
e4811 not r199 a32	0	train
e4811 not r199 a33	1	train
e4811 r199 a33	0	train
e3515 r199 a242	1	train
e3515 not r199 a242	0	train
e3515 not r199 a243	1	train
e3515 r199 a243	0	train
e3590 not r199 a171	1	train
e3590 r199 a171	0	train
e3590 r199 a170	1	train
e3590 not r199 a170	0	train
e4307 r199 a184	1	train
e4307 not r199 a184	0	train
e4307 not r199 a185	1	train
e4307 r199 a185	0	train
e476 not r199 a233	1	train
e476 r199 a233	0	train
e476 r199 a232	1	train
e476 not r199 a232	0	train
e339 not r199 a80	1	train
e339 r199 a80	0	train
e339 r199 a81	1	train
e339 not r199 a81	0	train
e4134 not r199 a95	1	train
e4134 r199 a95	0	train
e4134 r199 a94	1	train
e4134 not r199 a94	0	train
e1704 r199 a89	1	train
e1704 not r199 a89	0	train
e1704 not r199 a88	1	train
e1704 r199 a88	0	train
e1049 not r199 a117	1	train
e1049 r199 a117	0	train
e1049 r199 a116	1	train
e1049 not r199 a116	0	train
e3100 not r199 a44	1	train
e3100 r199 a44	0	train
e3100 r199 a45	1	train
e3100 not r199 a45	0	train
e2625 r199 a39	1	train
e2625 not r199 a39	0	train
e2625 not r199 a38	1	train
e2625 r199 a38	0	train
e582 r199 a124	1	train
e582 not r199 a124	0	train
e582 not r199 a125	1	train
e582 r199 a125	0	train
e4456 r199 a183	1	train
e4456 not r199 a183	0	train
e4456 not r199 a182	1	train
e4456 r199 a182	0	train
e1485 not r199 a193	1	train
e1485 r199 a193	0	train
e1485 r199 a192	1	train
e1485 not r199 a192	0	train
e3736 r199 a240	1	train
e3736 not r199 a240	0	train
e3736 not r199 a241	1	train
e3736 r199 a241	0	train
e3378 r199 a108	1	train
e3378 not r199 a108	0	train
e3378 not r199 a109	1	train
e3378 r199 a109	0	train
e1216 not r199 a37	1	train
e1216 r199 a37	0	train
e1216 r199 a36	1	train
e1216 not r199 a36	0	train
e3720 r199 a215	1	train
e3720 not r199 a215	0	train
e3720 not r199 a214	1	train
e3720 r199 a214	0	train
e460 r199 a202	1	train
e460 not r199 a202	0	train
e460 not r199 a203	1	train
e460 r199 a203	0	train
e4683 not r199 a3	1	train
e4683 r199 a3	0	train
e4683 r199 a2	1	train
e4683 not r199 a2	0	train
e1250 not r199 a142	1	train
e1250 r199 a142	0	train
e1250 r199 a143	1	train
e1250 not r199 a143	0	train
e3541 not r199 a62	1	train
e3541 r199 a62	0	train
e3541 r199 a63	1	train
e3541 not r199 a63	0	train
e3614 not r199 a157	1	train
e3614 r199 a157	0	train
e3614 r199 a156	1	train
e3614 not r199 a156	0	train
e3345 r199 a50	1	train
e3345 not r199 a50	0	train
e3345 not r199 a51	1	train
e3345 r199 a51	0	train
e2329 r199 a11	1	train
e2329 not r199 a11	0	train
e2329 not r199 a10	1	train
e2329 r199 a10	0	train
e3397 not r199 a178	1	train
e3397 r199 a178	0	train
e3397 r199 a179	1	train
e3397 not r199 a179	0	train
e2772 not r199 a58	1	train
e2772 r199 a58	0	train
e2772 r199 a59	1	train
e2772 not r199 a59	0	train
e1153 r199 a162	1	train
e1153 not r199 a162	0	train
e1153 not r199 a163	1	train
e1153 r199 a163	0	train
e3055 not r199 a99	1	train
e3055 r199 a99	0	train
e3055 r199 a98	1	train
e3055 not r199 a98	0	train
e602 r199 a218	1	train
e602 not r199 a218	0	train
e602 not r199 a219	1	train
e602 r199 a219	0	train
e1545 r199 a230	1	train
e1545 not r199 a230	0	train
e1545 not r199 a231	1	train
e1545 r199 a231	0	train
e3773 r199 a185	1	train
e3773 not r199 a185	0	train
e3773 not r199 a184	1	train
e3773 r199 a184	0	train
e4996 not r199 a131	1	train
e4996 r199 a131	0	train
e4996 r199 a130	1	train
e4996 not r199 a130	0	train
e3446 not r199 a192	1	train
e3446 r199 a192	0	train
e3446 r199 a193	1	train
e3446 not r199 a193	0	train
e417 not r199 a94	1	train
e417 r199 a94	0	train
e417 r199 a95	1	train
e417 not r199 a95	0	train
e4884 not r199 a53	1	train
e4884 r199 a53	0	train
e4884 r199 a52	1	train
e4884 not r199 a52	0	train
e1517 r199 a167	1	train
e1517 not r199 a167	0	train
e1517 not r199 a166	1	train
e1517 r199 a166	0	train
e1220 r199 a52	1	train
e1220 not r199 a52	0	train
e1220 not r199 a53	1	train
e1220 r199 a53	0	train
e3263 r199 a79	1	train
e3263 not r199 a79	0	train
e3263 not r199 a78	1	train
e3263 r199 a78	0	train
e762 not r199 a179	1	train
e762 r199 a179	0	train
e762 r199 a178	1	train
e762 not r199 a178	0	train
e2078 not r199 a176	1	train
e2078 r199 a176	0	train
e2078 r199 a177	1	train
e2078 not r199 a177	0	train
e4596 r199 a131	1	train
e4596 not r199 a131	0	train
e4596 not r199 a130	1	train
e4596 r199 a130	0	train
e4167 not r199 a135	1	train
e4167 r199 a135	0	train
e4167 r199 a134	1	train
e4167 not r199 a134	0	train
e1010 r199 a45	1	train
e1010 not r199 a45	0	train
e1010 not r199 a44	1	train
e1010 r199 a44	0	train
e3700 r199 a211	1	train
e3700 not r199 a211	0	train
e3700 not r199 a210	1	train
e3700 r199 a210	0	train
e1678 r199 a221	1	train
e1678 not r199 a221	0	train
e1678 not r199 a220	1	train
e1678 r199 a220	0	train
e2914 not r199 a199	1	train
e2914 r199 a199	0	train
e2914 r199 a198	1	train
e2914 not r199 a198	0	train
e3097 r199 a81	1	train
e3097 not r199 a81	0	train
